Fcilty_nam","Shp_num_an","Locality","Xcoord","Ycoord","uuid"
"ALBERÓ COCINAS S.A. DE C.V.","Hospital Ángeles Interlomas, Hacienda de las Palmas, 52763 Huixquilucan de Degollado, Méx., México","QUINTANA ROO","-86.8421694","21.0914324","1"
"Amaldi","Av. Independencia 513, Nueva Aurora, 27220 Torreón, Coah., México","COAHUILA","-103.4546048","25.5350155","2"
"ALTER Cocinas","Avenida José Vasconcelos, Sierra Madre 6B, Colonia, 66250 San Pedro Garza García, N.L., México","NUEVO LEON","-100.3678475","25.6517459","3"
"AMBIENTES NACIONALES INTERNACIONALES, S.A. DE C.V.","Calle Libertad 480, Casco Urbano, 66230 San Pedro Garza García, N.L., México","NUEVO LEON","-100.4012226","25.663578","4"
"AMMEX DESIGN STORE","calle 30 (av. García Lavín) No. 329 por 39 y 41 Frente al Café, Starbucks, San Ramón Nte, 97117 Mérida, Yuc., México","YUCATAN","-89.6075341","21.0247133","5"
"Avr Stile","Cto Plaza Esmeralda NO 9, Bosque Esmeralda, Cd López Mateos, Méx., México","CDMX","-99.2979496","19.5598825","6"
"Benneti Casa","Bosques de la Reforma 1813, Lomas del Chamizal, Cuajimalpa de Morelos, 05100 Ciudad de México, CDMX, México","CDMX","-99.2706493","19.3827442","7"
"BOA Luxury Projects","102A, Tabasco 311, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, México","CDMX","-99.1693944","19.4177889","8"
"Carpintería Carvy","Juan de La Barrera 757, Centro, 81200 Los Mochis, Sin., México","SINALOA","-108.9848895","25.7828652","9"
"Carpintería Carvy","Sur, Mariano Escobedo 958, Cuauhtemoc, 81490 Guamúchil, Sin., México","SINALOA","-108.0895887","25.454771","10"
"Casa Palacio Antara","Av Ejército Nacional 843-B, Granada, Miguel Hidalgo, 11520 Ciudad de México, CDMX, México","CDMX","-99.2054521","19.4387999","11"
"Casa Palacio Sta Fe","Vasco de Quiroga 3870, Santa Fe, Contadero, Cuajimalpa de Morelos, 05340 Ciudad de México, CDMX, México","CDMX","-99.2787693","19.3618229","12"
"Cocinas Ciao","Rio Mississippi, Del Valle, 66220 San Pedro Garza García, N.L., México","NUEVO LEON","-100.3646351","25.6578735","13"
"Cocina Contemporanea Kitchen House","Interior 102, Mar Báltico 2240, Country Club, 44610 Guadalajara, Jal., México","JALISCO","-103.3746138","20.6974465","14"
"Cocinas Gaudí San Pedro","Local 202 Plaza Chipinque, Av. Manuel Gómez Morín 938, Comercial Gómez Morin, Jerónimo Siller, 66266 San Pedro Garza García, N.L., México","NUEVO LEON","-100.363222","25.645176","15"
"Cocinas Sevilla","Av. Explanada 720, Lomas - Virreyes, Lomas de Chapultepec, Miguel Hidalgo, 11000 Ciudad de México, CDMX, México","CDMX","-99.2133497","19.420774","16"
"Consorcio Exportador Europeo S De Rl De Cv","Calle Mariano Escobedo No. 129, Centro Industrial Tlalnepantla, 54030 Tlalnepantla de Baz, Méx., México","CDMX","-99.2042488","19.5408323","17"
"Doimo Eggplant Kitchen","Av. Altavista 76, San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX, México","CDMX","-99.1954338","19.3482653","18"
"Eland","Calle Valerio González, 1ro de Mayo, San José del Cabo, B.C.S., México","NUEVO LEON","-109.6985573","23.055476","19"
"El Tio Sam (Niños Heroes)","Av Niños Héroes 1555, Moderna, 44190 Guadalajara, Jal., México","JALISCO","-103.3621656","20.6664741","20"
"El Tio Sam (Plaza Sanzio)","Local 1, Av Juan Palomar y Arias #123, Jardines Vallarta, 45027 Guadalajara, Jal., México","JALISCO","-103.4307074","20.6821148","21"
"Equipos Y Cocinas Sobre Diseño, S.A. de C.V.","El Ranchito, 25057 Saltillo, Coah., México","NUEVO LEON","-100.9894033","25.4022053","22"
"Eurodesign GDL","Av Pablo Neruda 2694, Providencia 3a. Secc, 44630 Guadalajara, Jal., México","JALISCO","-103.3835945","20.6976473","23"
"EXPANSION KUAUKALI DI S DE RL DE CV","Coapa, Coapa Super 1, Ciudad de México, CDMX, México","CDMX","-99.1198475","19.2910279","24"
"Grupo Dana","Av. Jaime Balmes 11, Polanco, Polanco I Secc, Miguel Hidalgo, 11510 Ciudad de México, CDMX, México","CDMX","-99.2126901","19.4377921","25"
